review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
Make it user friendly.,2,2025-11-29,CBE,Google Play,positive,0.9920620918273926,Other
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,negative,-0.9875526428222656,Other
good app,5,2025-11-28,CBE,Google Play,positive,0.9998493194580078,Other
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,positive,0.9984679818153381,Transaction Performance
why didn't work this app?,1,2025-11-27,CBE,Google Play,negative,-0.9991324543952942,Other
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,positive,0.9996963739395142,Other
this app very bad 👎,1,2025-11-27,CBE,Google Play,negative,-0.9997968077659607,Other
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,negative,-0.9565094709396362,Other
Good application,4,2025-11-27,CBE,Google Play,positive,0.999854564666748,Other
It is nice app,5,2025-11-26,CBE,Google Play,positive,0.9998478889465332,Other
best,5,2025-11-25,CBE,Google Play,positive,0.9997941851615906,Other
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,negative,-0.9993435740470886,Other
nice app...,5,2025-11-25,CBE,Google Play,positive,0.9997116923332214,Other
very good banking service and fast service,5,2025-11-24,CBE,Google Play,positive,0.9998499155044556,Other
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,positive,0.9971639513969421,Customer Support
good,5,2025-11-24,CBE,Google Play,positive,0.9998161196708679,Other
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,negative,-0.9984826445579529,Other
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,negative,-0.9856644868850708,Other
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,negative,-0.8832131028175354,Other
wow,5,2025-11-23,CBE,Google Play,positive,0.999592125415802,Other
nice,5,2025-11-22,CBE,Google Play,positive,0.9998552799224854,Other
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,negative,-0.9818922877311707,Other
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,positive,0.9998483657836914,Other
excellent,5,2025-11-22,CBE,Google Play,positive,0.9998434782028198,Other
ዳጊ,5,2025-11-21,CBE,Google Play,negative,-0.6970565915107727,Other
absolutely right,5,2025-11-21,CBE,Google Play,positive,0.9998525381088257,Other
mid application it's so annoying,3,2025-11-20,CBE,Google Play,negative,-0.9997883439064026,Other
I used morethan one year,4,2025-11-20,CBE,Google Play,negative,-0.9802079796791077,Other
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,negative,-0.9920698404312134,Other
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,positive,0.9998750686645508,Other
Nice,5,2025-11-19,CBE,Google Play,positive,0.9998552799224854,Other
suckkkks,1,2025-11-19,CBE,Google Play,negative,-0.9737536311149597,Other
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,negative,-0.9991471767425537,Transaction Performance
I love you this app,5,2025-11-19,CBE,Google Play,positive,0.9998642206192017,Other
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,positive,0.9993645548820496,Other
make life easy,5,2025-11-19,CBE,Google Play,positive,0.999527096748352,Other
securr,5,2025-11-19,CBE,Google Play,negative,-0.989194393157959,Other
My most optional bank,5,2025-11-17,CBE,Google Play,positive,0.7555266618728638,Other
5 star,5,2025-11-17,CBE,Google Play,positive,0.9964116215705872,Other
it is fantastic app.,5,2025-11-16,CBE,Google Play,positive,0.9998733997344971,Other
sifen,5,2025-11-16,CBE,Google Play,negative,-0.8473550081253052,Other
i like this√,4,2025-11-16,CBE,Google Play,positive,0.9998555183410645,Other
Ok,3,2025-11-16,CBE,Google Play,positive,0.9997851252555847,Other
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,negative,-0.9916301369667053,Account Access Issues
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play,negative,-0.9996232986450195,Account Access Issues
Like,5,2025-11-13,CBE,Google Play,positive,0.9910564422607422,Other
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play,positive,0.9998588562011719,Other
Good,5,2025-11-13,CBE,Google Play,positive,0.9998161196708679,Other
smart app,4,2025-11-12,CBE,Google Play,positive,0.999789297580719,Other
good App,5,2025-11-12,CBE,Google Play,positive,0.9998493194580078,Other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,negative,-0.992516815662384,Customer Support
ok,5,2025-11-11,CBE,Google Play,positive,0.9997851252555847,Other
cbe is my choice,4,2025-11-11,CBE,Google Play,positive,0.9987378716468811,Other
Awesome,5,2025-11-11,CBE,Google Play,positive,0.9998682737350464,Other
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play,negative,-0.999775230884552,Transaction Performance
Very convenient App,5,2025-11-11,CBE,Google Play,positive,0.9945734143257141,Other
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,negative,-0.9832204580307007,Other
wow apk,5,2025-11-10,CBE,Google Play,positive,0.9992477893829346,Other
best 100 %,5,2025-11-10,CBE,Google Play,positive,0.9998010993003845,Other
bad app,1,2025-11-10,CBE,Google Play,negative,-0.9997212290763855,Other
best app,5,2025-11-10,CBE,Google Play,positive,0.999686598777771,Other
nice app,5,2025-11-10,CBE,Google Play,positive,0.9998061060905457,Other
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,positive,0.8869743943214417,Other
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play,negative,-0.9996213912963867,Account Access Issues
👌👌,5,2025-11-10,CBE,Google Play,negative,-0.6970565915107727,Other
best 👌,5,2025-11-10,CBE,Google Play,positive,0.9997019171714783,Other
not Refresh,2,2025-11-10,CBE,Google Play,negative,-0.9990518689155579,Other
your statement is not used as wanted,1,2025-11-10,CBE,Google Play,negative,-0.99908447265625,Other
good very good,5,2025-11-09,CBE,Google Play,positive,0.9998477697372437,Other
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play,negative,-0.9997031092643738,Other
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play,negative,-0.9800481200218201,Other
Good !,5,2025-11-08,CBE,Google Play,positive,0.9998268485069275,Other
i like it,5,2025-11-08,CBE,Google Play,positive,0.9998593330383301,Other
Very nice app,5,2025-11-08,CBE,Google Play,positive,0.9998562335968018,Other
the app is not functional this week.,4,2025-11-08,CBE,Google Play,negative,-0.9996664524078369,Other
very updated bank,5,2025-11-06,CBE,Google Play,positive,0.999656081199646,Other
tankyu,5,2025-11-05,CBE,Google Play,positive,0.8404368162155151,Other
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play,negative,-0.9866906404495239,Account Access Issues
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play,negative,-0.9989122152328491,Account Access Issues
loved it,5,2025-11-05,CBE,Google Play,positive,0.9998797178268433,Other
this app is not working on my phone,5,2025-11-03,CBE,Google Play,negative,-0.9996734857559204,Other
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play,negative,-0.964024543762207,Other
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play,negative,-0.9985938668251038,Other
wow 😘😘😘,4,2025-11-02,CBE,Google Play,positive,0.9992976188659668,Other
mobile banking broblem,5,2025-11-01,CBE,Google Play,negative,-0.9918060302734375,Other
good job,5,2025-11-01,CBE,Google Play,positive,0.999835729598999,Other
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play,positive,0.9998574256896973,Other
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play,negative,-0.929838240146637,Other
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,positive,0.9998561143875122,Customer Support
niiceh,5,2025-10-29,CBE,Google Play,positive,0.8779535293579102,Other
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,positive,0.9965399503707886,Other
🤮,1,2025-10-29,CBE,Google Play,negative,-0.6970565915107727,Other
abdulakim abrahim elemoo,5,2025-10-29,CBE,Google Play,positive,0.9634568691253662,Other
strong,5,2025-10-28,CBE,Google Play,positive,0.999862551689148,Other
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,neutral,-0.5422849655151367,Other
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,positive,0.9990962743759155,Other
Cbe,5,2025-10-27,CBE,Google Play,positive,0.9966009855270386,Other
